countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Australia,New Year's Day,New Year's Day,,AU,1975-01-01 00:00:00
Canada,New Year's Day,New Year's Day,,CA,1975-01-01 00:00:00
Ireland,New Year's Day,New Year's Day,,IE,1975-01-01 00:00:00
Isle of Man,New Year's Day,New Year's Day,,IM,1975-01-01 00:00:00
New Zealand,New Year's Day,New Year's Day,,NZ,1975-01-01 00:00:00
South Africa,New Year's Day,New Year's Day,,ZA,1975-01-01 00:00:00
United Kingdom,New Year's Day,New Year's Day,,GB,1975-01-01 00:00:00
United States,New Year's Day,New Year's Day,,US,1975-01-01 00:00:00
Australia,New Year's Day,New Year's Day,,AU,1976-01-01 00:00:00
Canada,New Year's Day,New Year's Day,,CA,1976-01-01 00:00:00
Ireland,New Year's Day,New Year's Day,,IE,1976-01-01 00:00:00
Isle of Man,New Year's Day,New Year's Day,,IM,1976-01-01 00:00:00
New Zealand,New Year's Day,New Year's Day,,NZ,1976-01-01 00:00:00
South Africa,New Year's Day,New Year's Day,,ZA,1976-01-01 00:00:00
United Kingdom,New Year's Day,New Year's Day,,GB,1976-01-01 00:00:00
United States,New Year's Day,New Year's Day,,US,1976-01-01 00:00:00
Australia,New Year's Day,New Year's Day,,AU,1970-01-01 00:00:00
Australia,New Year's Day,New Year's Day,,AU,1971-01-01 00:00:00
New Zealand,New Year's Day,New Year's Day,,NZ,1971-01-01 00:00:00
South Africa,New Year's Day,New Year's Day,,ZA,1971-01-01 00:00:00
Canada,New Year's Day,New Year's Day,,CA,1972-01-01 00:00:00
New Zealand,New Year's Day,New Year's Day,,NZ,1972-01-01 00:00:00
South Africa,New Year's Day,New Year's Day,,ZA,1972-01-01 00:00:00
New Zealand,New Year's Day (Observed),New Year's Day,,NZ,1972-01-03 00:00:00
Australia,New Year's Day,New Year's Day,,AU,1973-01-01 00:00:00
Canada,New Year's Day,New Year's Day,,CA,1973-01-01 00:00:00
New Zealand,New Year's Day,New Year's Day,true,NZ,1973-01-01 00:00:00
South Africa,New Year's Day,New Year's Day,,ZA,1973-01-01 00:00:00
Canada,New Year's Day,New Year's Day,,CA,1974-01-01 00:00:00
Ireland,New Year's Day,New Year's Day,true,IE,1974-01-01 00:00:00
Isle of Man,New Year's Day,New Year's Day,,IM,1974-01-01 00:00:00
New Zealand,New Year's Day,New Year's Day,,NZ,1974-01-01 00:00:00
South Africa,New Year's Day,New Year's Day,,ZA,1974-01-01 00:00:00
Canada,New Year's Day (Observed),New Year's Day,,CA,1976-12-31 00:00:00
Ireland,New Year's Day,New Year's Day,,IE,1977-01-01 00:00:00
